country,fiscal_year,total,,
Argentina,1994,2474,,
Argentina,1995,2239,,
Argentina,1996,2878,,
Argentina,1997,2055,,
Argentina,1998,1649,,
Argentina,1999,1578,,
Argentina,2000,2485,,
Argentina,2001,3426,,
Argentina,2002,3791,,
Argentina,2003,3193,,
Argentina,2004,4672,,
Argentina,2005,6945,,
Argentina,2006,7239,,
Argentina,2007,5375,,
Argentina,2008,5170,,
Argentina,2009,5672,,
Argentina,2010,4312,,
Argentina,2011,4335,,
Argentina,2012,4218,,
Argentina,2013,4227,,
Argentina,2014,3757,,
Argentina,2015,3542,,
Argentina,2016,3783,,
Argentina,2017,3191,,
Australia,2001,3714,,
Australia,2002,3420,,
Australia,2003,2488,,
Australia,2004,3397,,
Australia,2005,4090,,
Australia,2006,3770,,
Australia,2007,3026,,
Australia,2008,3031,,
Australia,2009,3098,,
Australia,2010,3077,,
Australia,2011,3062,,
Australia,2012,3146,,
Australia,2013,3529,,
Australia,2014,3582,,
Australia,2015,3795,,
Australia,2016,4173,,
Australia,2017,3818,,
Austria,1994,1314,,
Austria,1995,1340,,
Austria,1996,1182,,
Austria,1997,1044,,
Austria,1998,610,,
Austria,1999,727,,
Austria,2000,997,,
Austria,2001,996,,
Austria,2002,2650,,
Austria,2003,1160,,
Austria,2004,2442,,
Austria,2005,3002,,
Austria,2006,1301,,
Austria,2007,849,,
Austria,2008,1505,,
Austria,2009,6260,,
Austria,2010,3319,,
Austria,2011,3654,,
Austria,2012,2199,,
Austria,2013,1053,,
Austria,2014,1088,,
Austria,2015,1928,,
Austria,2016,1621,,
Austria,2017,1962,,
Austria-Hungary,1994,2123,,
Austria-Hungary,1995,2190,,
Austria-Hungary,1996,2325,,
Austria-Hungary,1997,1964,,
Austria-Hungary,1998,1435,,
Austria-Hungary,1999,1518,,
Austria-Hungary,2000,2024,,
Austria-Hungary,2001,2303,,
Austria-Hungary,2002,4004,,
Austria-Hungary,2003,2176,,
Austria-Hungary,2004,3689,,
Austria-Hungary,2005,4569,,
Austria-Hungary,2006,2991,,
Austria-Hungary,2007,2057,,
Austria-Hungary,2008,2576,,
Austria-Hungary,2009,7555,,
Austria-Hungary,2010,4325,,
Austria-Hungary,2011,4703,,
Austria-Hungary,2012,3208,,
Austria-Hungary,2013,2061,,
Austria-Hungary,2014,2058,,
Austria-Hungary,2015,2965,,
Austria-Hungary,2016,2620,,
Austria-Hungary,2017,2886,,
Belgium,1994,621,,
Belgium,1995,694,,
Belgium,1996,802,,
Belgium,1997,633,,
Belgium,1998,557,,
Belgium,1999,522,,
Belgium,2000,827,,
Belgium,2001,997,,
Belgium,2002,834,,
Belgium,2003,515,,
Belgium,2004,746,,
Belgium,2005,1031,,
Belgium,2006,891,,
Belgium,2007,733,,
Belgium,2008,829,,
Belgium,2009,764,,
Belgium,2010,732,,
Belgium,2011,700,,
Belgium,2012,698,,
Belgium,2013,803,,
Belgium,2014,775,,
Belgium,2015,809,,
Belgium,2016,821,,
Belgium,2017,742,,
Belize,2001,982,,
Belize,2002,983,,
Belize,2003,616,,
Belize,2004,888,,
Belize,2005,901,,
Belize,2006,1263,,
Belize,2007,1089,,
Belize,2008,1113,,
Belize,2009,1073,,
Belize,2010,997,,
Belize,2011,933,,
Belize,2012,875,,
Belize,2013,969,,
Belize,2014,823,,
Belize,2015,804,,
Belize,2016,878,,
Belize,2017,754,,
Bolivia,2001,1804,,
Bolivia,2002,1660,,
Bolivia,2003,1365,,
Bolivia,2004,1719,,
Bolivia,2005,2164,,
Bolivia,2006,4000,,
Bolivia,2007,2326,,
Bolivia,2008,2350,,
Bolivia,2009,2789,,
Bolivia,2010,2211,,
Bolivia,2011,2113,,
Bolivia,2012,1920,,
Bolivia,2013,2005,,
Bolivia,2014,1663,,
Bolivia,2015,1549,,
Bolivia,2016,1481,,
Bolivia,2017,1399,,
Brazil,2001,9391,,
Brazil,2002,9034,,
Brazil,2003,6108,,
Brazil,2004,10247,,
Brazil,2005,16329,,
Brazil,2006,17741,,
Brazil,2007,13546,,
Brazil,2008,11813,,
Brazil,2009,14428,,
Brazil,2010,12057,,
Brazil,2011,11643,,
Brazil,2012,11248,,
Brazil,2013,10772,,
Brazil,2014,10246,,
Brazil,2015,11247,,
Brazil,2016,13528,,
Brazil,2017,14832,,
Bulgaria,2001,4273,,
Bulgaria,2002,3476,,
Bulgaria,2003,3706,,
Bulgaria,2004,4042,,
Bulgaria,2005,5451,,
Bulgaria,2006,4690,,
Bulgaria,2007,3766,,
Bulgaria,2008,2805,,
Bulgaria,2009,3015,,
Bulgaria,2010,2465,,
Bulgaria,2011,2549,,
Bulgaria,2012,2322,,
Bulgaria,2013,2720,,
Bulgaria,2014,2886,,
Bulgaria,2015,2585,,
Bulgaria,2016,2560,,
Bulgaria,2017,2070,,
Canada & Newfoundland,1994,22243,,
Canada & Newfoundland,1995,18117,,
Canada & Newfoundland,1996,21751,,
Canada & Newfoundland,1997,15788,,
Canada & Newfoundland,1998,14295,,
Canada & Newfoundland,1999,12948,,
Canada & Newfoundland,2000,21475,,
Canada & Newfoundland,2001,29991,,
Canada & Newfoundland,2002,27142,,
Canada & Newfoundland,2003,16447,,
Canada & Newfoundland,2004,22439,,
Canada & Newfoundland,2005,29930,,
Canada & Newfoundland,2006,23913,,
Canada & Newfoundland,2007,20324,,
Canada & Newfoundland,2008,22366,,
Canada & Newfoundland,2009,22508,,
Canada & Newfoundland,2010,19491,,
Canada & Newfoundland,2011,19506,,
Canada & Newfoundland,2012,20138,,
Canada & Newfoundland,2013,20489,,
Canada & Newfoundland,2014,17670,,
Canada & Newfoundland,2015,19309,,
Canada & Newfoundland,2016,19349,,
Canada & Newfoundland,2017,18469,,
Chile,2001,1881,,
Chile,2002,1766,,
Chile,2003,1255,,
Chile,2004,1719,,
Chile,2005,2354,,
Chile,2006,2727,,
Chile,2007,2202,,
Chile,2008,1988,,
Chile,2009,2240,,
Chile,2010,1940,,
Chile,2011,1854,,
Chile,2012,1628,,
Chile,2013,1751,,
Chile,2014,1591,,
Chile,2015,1620,,
Chile,2016,1711,,
Chile,2017,1664,,
China,1994,58867,,
China,1995,41112,,
China,1996,50981,,
China,1997,44356,,
China,1998,41034,,
China,1999,29579,,
China,2000,41861,,
China,2001,50677,,
China,2002,55901,,
China,2003,37342,,
China,2004,50280,,
China,2005,64887,,
China,2006,83590,,
China,2007,70924,,
China,2008,75410,,
China,2009,60896,,
China,2010,67634,,
China,2011,83603,,
China,2012,78184,,
China,2013,68410,,
China,2014,72492,,
China,2015,70977,,
China,2016,77658,,
China,2017,66479,,
Colombia,2001,16234,,
Colombia,2002,18409,,
Colombia,2003,14400,,
Colombia,2004,18055,,
Colombia,2005,24705,,
Colombia,2006,42017,,
Colombia,2007,32055,,
Colombia,2008,29349,,
Colombia,2009,27221,,
Colombia,2010,21861,,
Colombia,2011,22130,,
Colombia,2012,20272,,
Colombia,2013,20611,,
Colombia,2014,17614,,
Colombia,2015,16509,,
Colombia,2016,16830,,
Colombia,2017,16341,,
Columbia,1994,10653,,
Columbia,1995,10641,,
Columbia,1996,14078,,
Columbia,1997,12795,,
Columbia,1998,11618,,
Columbia,1999,9769,,
Columbia,2000,14191,,
Costa Rica,2001,1863,,
Costa Rica,2002,1686,,
Costa Rica,2003,1322,,
Costa Rica,2004,1811,,
Costa Rica,2005,2479,,
Costa Rica,2006,3459,,
Costa Rica,2007,2722,,
Costa Rica,2008,2287,,
Costa Rica,2009,2552,,
Costa Rica,2010,2306,,
Costa Rica,2011,2230,,
Costa Rica,2012,2152,,
Costa Rica,2013,2232,,
Costa Rica,2014,2018,,
Costa Rica,2015,2121,,
Costa Rica,2016,2295,,
Costa Rica,2017,2259,,
Cuba,1994,14216,,
Cuba,1995,17661,,
Cuba,1996,26166,,
Cuba,1997,29913,,
Cuba,1998,15415,,
Cuba,1999,13289,,
Cuba,2000,19322,,
Cuba,2001,25832,,
Cuba,2002,27435,,
Cuba,2003,8685,,
Cuba,2004,15385,,
Cuba,2005,20651,,
Cuba,2006,44248,,
Cuba,2007,25441,,
Cuba,2008,48057,,
Cuba,2009,38111,,
Cuba,2010,33372,,
Cuba,2011,36261,,
Cuba,2012,32551,,
Cuba,2013,31343,,
Cuba,2014,46505,,
Cuba,2015,54178,,
Cuba,2016,66120,,
Cuba,2017,64749,,
Czechoslovakia,1994,759,,
Czechoslovakia,1995,1057,,
Czechoslovakia,1996,1299,,
Czechoslovakia,1997,1169,,
Czechoslovakia,1998,931,,
Czechoslovakia,1999,895,,
Czechoslovakia,2000,1415,,
Czechoslovakia,2001,1911,,
Czechoslovakia,2002,1854,,
Czechoslovakia,2003,1472,,
Czechoslovakia,2004,1871,,
Czechoslovakia,2005,2182,,
Czechoslovakia,2006,2844,,
Czechoslovakia,2007,1851,,
Czechoslovakia,2008,1650,,
Czechoslovakia,2009,1649,,
Czechoslovakia,2010,1510,,
Czechoslovakia,2011,1374,,
Czechoslovakia,2012,1316,,
Czechoslovakia,2013,1258,,
Czechoslovakia,2014,1168,,
Czechoslovakia,2015,1236,,
Czechoslovakia,2016,1299,,
Czechoslovakia,2017,1142,,
Denmark,1994,639,,
Denmark,1995,588,,
Denmark,1996,795,,
Denmark,1997,507,,
Denmark,1998,447,,
Denmark,1999,387,,
Denmark,2000,556,,
Denmark,2001,732,,
Denmark,2002,651,,
Denmark,2003,435,,
Denmark,2004,568,,
Denmark,2005,714,,
Denmark,2006,738,,
Denmark,2007,505,,
Denmark,2008,551,,
Denmark,2009,606,,
Denmark,2010,545,,
Denmark,2011,473,,
Denmark,2012,492,,
Denmark,2013,546,,
Denmark,2014,533,,
Denmark,2015,634,,
Denmark,2016,562,,
Denmark,2017,536,,
Dominican Republic,1994,51221,,
Dominican Republic,1995,38493,,
Dominican Republic,1996,36284,,
Dominican Republic,1997,24966,,
Dominican Republic,1998,20267,,
Dominican Republic,1999,17745,,
Dominican Republic,2000,17441,,
Dominican Republic,2001,21139,,
Dominican Republic,2002,22386,,
Dominican Republic,2003,26112,,
Dominican Republic,2004,30063,,
Dominican Republic,2005,27365,,
Dominican Republic,2006,37997,,
Dominican Republic,2007,27875,,
Dominican Republic,2008,31801,,
Dominican Republic,2009,49381,,
Dominican Republic,2010,53890,,
Dominican Republic,2011,46036,,
Dominican Republic,2012,41535,,
Dominican Republic,2013,41487,,
Dominican Republic,2014,44550,,
Dominican Republic,2015,50382,,
Dominican Republic,2016,60613,,
Dominican Republic,2017,58384,,
